price,propertyType,size,rooms,bathrooms,floor,hasLift,parkingSpace,city,house_status
650000,flat,165,3,4,4,0,1,Oeiras,0
640000,flat,165,3,4,3,0,1,Oeiras,0
630000,flat,165,3,4,2,0,1,Oeiras,0
630000,flat,169,3,4,1,0,1,Oeiras,0
630000,flat,168,3,4,1,0,1,Oeiras,0
680000,flat,165,3,4,7,1,0,Oeiras,0
498500,duplex,80,1,1,1,False,0,Oeiras,0
427000,flat,125,2,2,2,1,1,Oeiras,0
700000,flat,198,3,3,1,1,1,Oeiras,0
550000,flat,161,2,2,1,1,1,Oeiras,0
220000,chalet,61,1,1,0,0,0,Oeiras,0
275000,flat,59,2,1,2,0,0,Oeiras,0
150000,flat,75,2,1,1,False,0,Oeiras,0
150000,flat,75,2,1,3,False,0,Oeiras,0
230000,flat,72,2,1,3,False,0,Oeiras,-1
230000,flat,80,2,1,3,False,0,Oeiras,0
420000,flat,130,3,4,1,1,1,Oeiras,0
707000,chalet,267,3,3,0,0,0,Oeiras,0
375000,flat,86,3,1,2,0,0,Oeiras,0
1350000,flat,150,4,3,2,0,0,Oeiras,0
545000,flat,150,4,3,11,1,0,Oeiras,0
285000,flat,89,2,1,1,1,0,Oeiras,-1
920000,flat,132,3,3,2,1,1,Oeiras,0
335000,flat,54,1,1,1,1,1,Oeiras,0
620000,flat,140,4,3,9,1,1,Oeiras,0
2350000,flat,213,4,5,6,1,1,Oeiras,0
1490000,flat,256,4,4,2,1,1,Oeiras,0
3250000,chalet,564,6,4,0,0,1,Oeiras,0
2950000,chalet,433,4,5,0,0,1,Oeiras,0
595000,flat,93,2,2,2,1,1,Oeiras,0
1080000,flat,148,3,3,2,False,1,Oeiras,0
1190000,chalet,213,4,4,0,0,1,Oeiras,0
2190000,chalet,511,4,5,0,0,1,Oeiras,0
2200000,chalet,545,5,4,0,0,1,Oeiras,0
2150000,chalet,236,4,4,0,0,1,Oeiras,0
895000,flat,116,2,2,5,1,1,Oeiras,0
379000,flat,112,3,2,2,False,1,Oeiras,0
695000,flat,130,3,4,2,1,0,Oeiras,0
1400000,chalet,425,4,5,0,0,1,Oeiras,0
268000,flat,76,2,1,2,False,0,Oeiras,0
498500,duplex,80,1,1,1,False,0,Oeiras,0
789000,flat,153,3,3,2,1,1,Oeiras,0
445000,flat,120,3,2,1,1,0,Oeiras,0
575000,flat,143,3,2,1,1,1,Oeiras,0
575000,chalet,125,4,2,0,0,0,Oeiras,0
3750000,chalet,713,6,6,0,0,0,Oeiras,0
505000,flat,173,3,2,2,0,0,Oeiras,0
460000,flat,115,2,1,2,0,0,Oeiras,0
300000,flat,101,4,1,2,0,0,Oeiras,0
240000,flat,91,1,1,0,1,0,Oeiras,0
330000,flat,84,2,1,4,1,0,Oeiras,0
330000,flat,103,3,2,2,False,0,Oeiras,0
3250000,chalet,564,6,6,0,0,1,Oeiras,0
345000,flat,100,3,2,3,1,0,Oeiras,0
699000,chalet,302,9,3,0,0,0,Oeiras,0
199000,flat,50,1,1,4,1,0,Oeiras,0
345000,chalet,75,2,3,0,0,0,Oeiras,0
690000,penthouse,201,4,3,3,1,1,Oeiras,0
210000,flat,100,2,2,2,0,0,Oeiras,0
450000,flat,143,2,1,1,1,0,Oeiras,0
2680000,chalet,450,5,5,0,0,0,Oeiras,0
550000,flat,161,2,2,1,1,1,Oeiras,0
580000,flat,179,2,3,4,1,1,Oeiras,0
720000,flat,177,3,3,1,1,1,Oeiras,0
665000,flat,200,4,4,2,1,0,Oeiras,0
380000,flat,112,2,2,13,1,1,Oeiras,0
700000,flat,139,3,2,2,1,0,Oeiras,0
240000,flat,78,2,1,4,False,0,Oeiras,0
330000,flat,91,3,1,1,False,0,Oeiras,0
375000,flat,120,3,2,2,1,0,Oeiras,0
289000,flat,67,2,1,2,False,1,Oeiras,0
205000,flat,43,1,1,0,False,0,Oeiras,0
370000,flat,80,2,2,4,1,0,Oeiras,0
589500,flat,136,4,2,7,1,1,Oeiras,0
280000,flat,80,2,1,3,False,0,Oeiras,0
440000,flat,130,4,3,3,1,0,Oeiras,0
395000,flat,100,3,2,2,False,0,Oeiras,0
267500,flat,82,2,1,0,1,0,Oeiras,0
830000,flat,202,4,3,6,1,1,Oeiras,0
185000,flat,65,1,1,0,False,0,Oeiras,0
750000,chalet,178,4,3,0,0,1,Oeiras,0
598000,flat,171,3,2,1,1,1,Oeiras,0
330000,flat,100,2,1,1,False,1,Oeiras,0
